game_id,user_id,rating
282440,14060681,3
578620,9681461,5
332200,2154209,4
359100,45989,4
206500,8407263,3
261030,11398045,3
529180,12844828,2
1782210,9555133,5
576660,12231744,2
509220,10159630,4
1150460,9664896,3
1105510,1017227,5
732430,12156389,5
384490,11482283,3
641080,12464209,3
266170,5661782,2
1293180,5527672,3
20510,6147813,4
1289310,9905637,3
555950,5763074,3
206440,989771,4
1418100,5049902,3
1782210,624202,3
568570,7450596,4
40990,2275987,4
678950,9131984,3
589290,11692877,4
1220150,10981743,4
275670,1197133,3
386620,3125103,4
275100,6167462,3
1506980,3372466,3
234650,6808926,5
1567800,8723110,5
6200,14038500,5
278970,4398213,2
32450,3800302,2
405820,11848737,4
34870,12812306,3
360640,5858745,3
834910,5281426,2
575640,1889249,3
1368030,7247532,5
215470,10573417,3
1194930,10718647,4
489360,13578853,3
517720,5917426,4
236370,11853825,4
1249800,6373364,1
444590,3980481,5
480490,9561501,4
656350,9232456,5
1689910,8781832,5
1438190,13225275,4
32680,12759369,5
230050,5861471,3
504050,3750327,3
1238820,3052010,2
301640,5153288,3
1047220,392204,3
224940,8845174,3
582500,2325097,5
1392820,4972658,1
1038250,9029055,2
248290,780621,4
375950,2896444,3
1119730,3581270,5
24240,5251939,3
261180,4765864,2
1570760,10225076,4
7200,224257,3
638970,11675404,3
674020,4329379,5
220,14091882,2
266510,11848326,4
2091500,3529908,4
475150,6081841,3
589870,7477579,3
1865780,7609280,3
1325200,8231189,5
360430,11154380,4
1003090,4005327,3
998740,6271859,2
1335530,2379842,3
1506830,10953232,3
38410,11283997,4
405710,4755192,4
219640,2144919,5
3910,10106811,2
1520900,7480020,3
616250,7026890,4
282440,8014510,4
606960,7222774,3
428430,9491538,2
257730,12141604,4
1209040,2327127,4
298160,6417429,3
241600,5856941,1
785260,12161652,2
204300,11661837,4
259390,5523272,3
307690,179457,4
1406020,6038296,5
638970,6027221,3
299740,8093019,2
515180,10383421,4
2138700,9007914,3
50300,5984476,3
204100,320877,3
923470,6952789,3
221910,13907882,5
409710,14226351,5
359310,5836704,4
584400,13457706,5
38400,13363278,5
1986840,11930195,3
360740,6700803,5
206440,108949,4
903950,13810772,2
250320,4774340,5
13520,12088446,3
298030,12125363,3
20920,13477347,3
245280,8728039,3
1604000,7823995,5
1262460,9915702,5
301520,5806186,3
253250,6486122,2
249650,737807,1
22350,5336362,1
994280,8953832,3
260230,4323330,3
360650,14116622,5
783770,14062446,2
393190,5079874,4
257420,8361223,4
4580,4373507,3
258180,5122136,2
903950,13298036,5
1325200,2688459,3
17460,14130413,4
555220,8304099,3
727850,11905315,3
786520,2123018,3
457860,11744615,4
207530,180562,4
496810,11941721,2
220,2116697,3
386480,10961990,2
233130,12187882,3
